Week,DayNo,Day,Date,Time,PERSONNEL,PAX COUNT,ACTIVITY,LOCATION,LEADER,COMMENTS
Week 0,"DAY 1: Monday, 05MAY - PRELIMINARY MEETING",Monday,4-May-26,1600-1800,ALL,20,"Introduction, course logistics, information, and organization, question and answer session",Borlaug 375,NJ/KW,Food provided! In person preferred - Zoom option available if necessary
Week 1,"DAY 0: Sunday, 17MAY - TRAVEL TO MOOSE LAKE STATE PARK",Sunday,17-May-26,1200-1300,ALL,23,Load-out and Departure,Borlaug Hall,NJ/KW,
Week 1,"DAY 0: Sunday, 17MAY - TRAVEL TO MOOSE LAKE STATE PARK",Sunday,17-May-26,1300-1600,ALL,23,Travel to Moose Lake State Park Group Camp,Highways/Local Roads and Streets,NJ/KW,
Week 1,"DAY 0: Sunday, 17MAY - TRAVEL TO MOOSE LAKE STATE PARK",Sunday,17-May-26,1600-1730,ALL,23,Camp setup,Jay Cooke State Park Group Camp,NJ/KW,
Week 1,"DAY 0: Sunday, 17MAY - TRAVEL TO MOOSE LAKE STATE PARK",Sunday,17-May-26,1730-1900,ALL,23,Dinner,Jay Cooke State Park Group Camp,NJ/KW,
Week 1,"DAY 0: Sunday, 17MAY - TRAVEL TO MOOSE LAKE STATE PARK",Sunday,17-May-26,1900-UTC,ALL,23,Personal time/personal/hygiene,Jay Cooke State Park Group Camp,NJ/KW,
Week 1,"DAY 1: Monday, 18MAY - INTRODUCTIONS, TEXTURE PRACTICE, MORPHOLOGICAL DESCRIPTIONS OF SOIL AT FDLTCC",Monday,18-May-26,0630-0700,ALL,23,Wake up and personal hygiene,Moose Lake State Park Group Camp,N/A,
Week 1,"DAY 1: Monday, 18MAY - INTRODUCTIONS, TEXTURE PRACTICE, MORPHOLOGICAL DESCRIPTIONS OF SOIL AT FDLTCC",Monday,18-May-26,0700-0730,ALL,23,Breakfast,Moose Lake State Park Group Camp,NJ/KW,Provided Breakfast
Week 1,"DAY 1: Monday, 18MAY - INTRODUCTIONS, TEXTURE PRACTICE, MORPHOLOGICAL DESCRIPTIONS OF SOIL AT FDLTCC",Monday,18-May-26,0730-1030,ALL,23,"Class meeting, pre-reflection activities, and visit to falls",Moose Lake State Park Group Camp,NJ/KW,
Week 1,"DAY 1: Monday, 18MAY - INTRODUCTIONS, TEXTURE PRACTICE, MORPHOLOGICAL DESCRIPTIONS OF SOIL AT FDLTCC",Monday,18-May-26,1030-1100,ALL,23,Travel to Fond du Lac Tribal and Community College,Highway/Local Roads and Streets,NJ/KW,
Week 1,"DAY 1: Monday, 18MAY - INTRODUCTIONS, TEXTURE PRACTICE, MORPHOLOGICAL DESCRIPTIONS OF SOIL AT FDLTCC",Monday,18-May-26,1100-1130,ALL,23,Introductions (course and people),FDLTCC Campus Room 230,NJ/KW,
Week 1,"DAY 1: Monday, 18MAY - INTRODUCTIONS, TEXTURE PRACTICE, MORPHOLOGICAL DESCRIPTIONS OF SOIL AT FDLTCC",Monday,18-May-26,1130-1230,ALL,23,Lunch,FDLTCC Campus Room 230,NJ/KW,Provided Lunch
Week 1,"DAY 1: Monday, 18MAY - INTRODUCTIONS, TEXTURE PRACTICE, MORPHOLOGICAL DESCRIPTIONS OF SOIL AT FDLTCC",Monday,18-May-26,1230-1530,ALL,23,"Texture by Feel, Texturing Contest, Scorecards and Soil Morphology ",FDLTCC Campus Room 186,NJ/KW,
Week 1,"DAY 1: Monday, 18MAY - INTRODUCTIONS, TEXTURE PRACTICE, MORPHOLOGICAL DESCRIPTIONS OF SOIL AT FDLTCC",Monday,18-May-26,1530-1730,ALL,23,Visit soil pit on FDLTCC campus,Local Roads and Streets,NJ/KW,
Week 1,"DAY 1: Monday, 18MAY - INTRODUCTIONS, TEXTURE PRACTICE, MORPHOLOGICAL DESCRIPTIONS OF SOIL AT FDLTCC",Monday,18-May-26,1730-1800,ALL,23,Travel to Moose Lake State Park Group Camp,Highway/Local Roads and Streets,NJ/KW,
